framework,version,device,op_name,kernel_source,model,task,attn_kind,backend,requested_backend,batch_size,q_seq_len,kv_seq_len,num_heads,head_dim,tp_size,sp_size,sp_algorithm,latency
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-T2V-A14B,t2v,cross_attn_text,fa,auto,1,26620,512,10,128,4,4,ring,0.12314239740371705
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-T2V-A14B,t2v,self_attn,fa,auto,1,13310,13310,10,128,4,8,ring,1.1658528327941895
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-T2V-A14B,t2v,cross_attn_text,fa,auto,1,13310,512,10,128,4,8,ring,0.0705183982849121
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-T2V-A14B,t2v,cross_attn_text,fa,auto,1,106480,512,5,128,8,1,none,0.25262720584869386
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-T2V-A14B,t2v,cross_attn_text,fa,auto,1,53240,512,5,128,8,2,ring,0.13220800161361695
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-T2V-A14B,t2v,cross_attn_text,fa,auto,1,26620,512,5,128,8,4,ring,0.07107200026512146
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-T2V-A14B,t2v,self_attn,fa,auto,1,13310,13310,5,128,8,8,ring,0.6064576148986817
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-T2V-A14B,t2v,cross_attn_text,fa,auto,1,13310,512,5,128,8,8,ring,0.03901439905166626
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-T2V-A14B,t2v,cross_attn_text,fa,auto,1,47190,512,10,128,1,4,ulysses,0.21739840507507324
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-T2V-A14B,t2v,cross_attn_text,fa,auto,1,11798,512,40,128,1,4,ring,0.22650558948516847
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-T2V-A14B,t2v,cross_attn_text,fa,auto,1,47190,512,5,128,1,8,ulysses,0.11360960006713867
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-T2V-A14B,t2v,self_attn,fa,auto,1,5899,5899,40,128,1,8,ring,0.9797663688659668
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-T2V-A14B,t2v,cross_attn_text,fa,auto,1,5899,512,40,128,1,8,ring,0.11616640090942383
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-T2V-A14B,t2v,cross_attn_text,fa,auto,1,47190,512,10,128,2,2,ulysses,0.20764799118041993
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-T2V-A14B,t2v,cross_attn_text,fa,auto,1,23595,512,20,128,2,2,ring,0.21335039138793946
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-T2V-A14B,t2v,cross_attn_text,fa,auto,1,47190,512,5,128,2,4,ulysses,0.1080288052558899
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-T2V-A14B,t2v,cross_attn_text,fa,auto,1,11798,512,20,128,2,4,ring,0.11556799411773681
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-T2V-A14B,t2v,self_attn,fa,auto,1,5899,5899,20,128,2,8,ring,0.5241888046264649
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-T2V-A14B,t2v,cross_attn_text,fa,auto,1,5899,512,20,128,2,8,ring,0.06537600159645081
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-T2V-A14B,t2v,cross_attn_text,fa,auto,1,47190,512,10,128,4,1,none,0.20783040523529053
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-T2V-A14B,t2v,cross_attn_text,fa,auto,1,47190,512,5,128,4,2,ulysses,0.10785919427871704
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-T2V-A14B,t2v,cross_attn_text,fa,auto,1,23595,512,10,128,4,2,ring,0.11375999450683594
