hardware,hardware_label,engine,version,operator,phase,compute_tag,kv_cache_dtype,kernel_source,rows
h200_sxm,H200 SXM,vllm,0.19.0,attention,decode,bfloat16,fp8,vllm_flash_attn,27172
h200_sxm,H200 SXM,vllm,0.14.0,mla,prefill,bfloat16,bfloat16,vllm_flash_attn_mla,1650
h200_sxm,H200 SXM,vllm,0.14.0,mla,prefill,bfloat16,fp8,vllm_flashmla,1515
h200_sxm,H200 SXM,vllm,0.14.0,mla,decode,bfloat16,bfloat16,vllm_flash_attn_mla,2715
h200_sxm,H200 SXM,vllm,0.14.0,mla,decode,bfloat16,fp8,vllm_flashmla,2715
b200_sxm,B200 SXM,sglang,0.5.10,attention,prefill,bfloat16,bfloat16,trtllm_mha,11238
b200_sxm,B200 SXM,sglang,0.5.10,attention,prefill,bfloat16,fp8,trtllm_mha,11238
b200_sxm,B200 SXM,sglang,0.5.10,attention,prefill,fp8,fp8,trtllm_mha,11238
b200_sxm,B200 SXM,sglang,0.5.10,attention,decode,bfloat16,bfloat16,trtllm_mha,9742
b200_sxm,B200 SXM,sglang,0.5.10,attention,decode,bfloat16,fp8,trtllm_mha,9742
b200_sxm,B200 SXM,sglang,0.5.10,mla,prefill,bfloat16,bfloat16,trtllm_mla,1540
b200_sxm,B200 SXM,sglang,0.5.10,mla,prefill,bfloat16,fp8,trtllm_mla,1540
b200_sxm,B200 SXM,sglang,0.5.10,mla,decode,bfloat16,bfloat16,trtllm_mla,2324
b200_sxm,B200 SXM,sglang,0.5.10,mla,decode,bfloat16,fp8,trtllm_mla,2324
b200_sxm,B200 SXM,trtllm,1.3.0rc10,attention,prefill,bfloat16,bfloat16,torch_flow,21064
b200_sxm,B200 SXM,trtllm,1.3.0rc10,attention,prefill,bfloat16,fp8,torch_flow,21064
b200_sxm,B200 SXM,trtllm,1.3.0rc10,attention,prefill,fp8,fp8,torch_flow,20995
b200_sxm,B200 SXM,trtllm,1.3.0rc10,attention,decode,bfloat16,bfloat16,torch_flow,20120
b200_sxm,B200 SXM,trtllm,1.3.0rc10,attention,decode,bfloat16,fp8,torch_flow,20120
b200_sxm,B200 SXM,trtllm,1.3.0rc10,mla,prefill,bfloat16,bfloat16,default,880
