model_key,system,mode,model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w,tokens/s/gpu_cluster
llama31_70b,a100_sxm,ANALYTICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,44,1.975,1,1,1,22,22,2,820.363,19.849,21125.89,1.975,0.082,2021.99,84.25,50.379,2.194,1.083,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,25.408,sglang,0.5.10,a100_sxm,0.0,63.1875
llama31_70b,a100_sxm,ANALYTICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,42,1.975,1,1,1,14,14,3,820.363,17.907,19139.224,1.975,0.062,2021.99,63.187,55.846,2.194,0.764,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,23.845,sglang,0.5.10,a100_sxm,0.0,63.187
llama31_70b,a100_sxm,ANALYTICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,30,1.59,1,1,1,10,10,3,820.363,16.982,18192.949,1.59,0.05,1627.914,50.872,58.885,2.194,0.576,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,23.064,sglang,0.5.10,a100_sxm,0.0,50.872
llama31_70b,a100_sxm,ANALYTICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,15,0.856,1,1,1,5,5,3,820.363,15.771,16954.096,0.856,0.027,876.134,27.379,63.409,2.194,0.31,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,22.087,sglang,0.5.10,a100_sxm,0.0,27.379
llama31_70b,a100_sxm,ANALYTICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,3,0.182,1,1,1,1,1,3,820.363,14.886,16048.741,0.182,0.006,186.532,5.829,67.176,2.194,0.066,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.306,sglang,0.5.10,a100_sxm,0.0,5.829
llama31_70b,h100_sxm,SILICON,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,144,4.836,1,1,1,144,144,1,334.998,24.642,25543.764,4.836,0.302,4951.757,309.485,40.58,5.373,5.712,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,h100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,49.236,sglang,0.5.10,h100_sxm,0.0,309.485
llama31_70b,h100_sxm,SILICON,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,88,4.034,1,1,1,88,88,1,334.998,19.619,20405.235,4.034,0.252,4131.021,258.189,50.972,5.373,4.385,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,h100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.298,sglang,0.5.10,h100_sxm,0.0,258.189
llama31_70b,h100_sxm,SILICON,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,76,3.645,1,1,1,76,76,1,334.998,18.753,19519.317,3.645,0.228,3732.521,233.283,53.326,5.373,3.962,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,h100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,35.954,sglang,0.5.10,h100_sxm,0.0,233.283
llama31_70b,h100_sxm,SILICON,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,68,3.404,1,1,1,68,68,1,334.998,17.967,18715.239,3.404,0.213,3485.696,217.856,55.658,5.373,3.7,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,h100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,34.392,sglang,0.5.10,h100_sxm,0.0,217.856
llama31_70b,h100_sxm,SILICON,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,88,4.836,1,1,1,44,44,2,334.998,15.812,16510.674,4.836,0.201,4951.757,206.323,63.243,5.373,2.72,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,h100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,29.704,sglang,0.5.10,h100_sxm,0.0,154.74225
