tag,mapping,alignment_class,step,op_name,op_category,latency_ms,step_latency_ms,step_count,weighted_latency_ms,aic_mix_step_latency_ms,aic_genonly_step_latency_ms,aic_ttft,aic_tpot,aic_request_latency,decode_batch_size,decode_prefix_len,prefill_batch_size,prefill_fresh_len,prefill_prefix_len,first_formal_prefill_req_count,first_formal_decode_req_count,first_formal_sum_prefill_fresh_tokens,first_formal_sum_decode_kv_tokens,aic_isl,aic_prefix,pct_of_weighted_total,pct_of_step
agg_aic_p0_chunk_b9_isl8192_ctx8192,observed_first_batch,strict_prefix0,genonly_step,generation_logits_gemm,generation_other,0.6693720568159927,3.5221263464154835,14.0,9.371208795423897,93.88838444023584,3.522126346415483,183.0823496584599,9.546543552670174,326.2805029485125,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.03952653273837362,0.19004771293829983
agg_aic_p0_chunk_b9_isl8192_ctx8192,observed_first_batch,strict_prefix0,genonly_step,generation_mla_block,generation_mla_block,0.8694145548450253,3.5221263464154835,14.0,12.171803767830355,93.88838444023584,3.522126346415483,183.0823496584599,9.546543552670174,326.2805029485125,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.05133907595241489,0.24684365901008645
agg_aic_p0_chunk_b9_isl8192_ctx8192,observed_first_batch,strict_prefix0,genonly_step,generation_moe_overlap,generation_moe,1.9438155078887938,3.5221263464154835,14.0,27.213417110443114,93.88838444023584,3.522126346415483,183.0823496584599,9.546543552670174,326.2805029485125,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.11478263325689678,0.5518869332632095
agg_aic_p0_chunk_b9_isl8192_ctx8192,observed_first_batch,strict_prefix0,genonly_step,generation_p2p,generation_other,0.0,3.5221263464154835,14.0,0.0,93.88838444023584,3.522126346415483,183.0823496584599,9.546543552670174,326.2805029485125,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.0,0.0
agg_aic_p0_dense_b36_isl1024_ctx4096,intended_case,strict_prefix0,mix_step,context_add_norm_1,context_other,0.5479612656716418,52.90918161455185,9.0,4.931651391044777,52.90918161455185,14.847356030104152,121.69111771346924,32.4143524536954,607.9064045189002,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.00850117444776632,0.01035663846898236
agg_aic_p0_dense_b36_isl1024_ctx4096,intended_case,strict_prefix0,mix_step,context_add_norm_2,context_other,0.5479612656716418,52.90918161455185,9.0,4.931651391044777,52.90918161455185,14.847356030104152,121.69111771346924,32.4143524536954,607.9064045189002,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.00850117444776632,0.01035663846898236
agg_aic_p0_dense_b36_isl1024_ctx4096,intended_case,strict_prefix0,mix_step,context_attention (scaled),attention_scaled,0.0,52.90918161455185,9.0,0.0,52.90918161455185,14.847356030104152,121.69111771346924,32.4143524536954,607.9064045189002,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.0,0.0
agg_aic_p0_dense_b36_isl1024_ctx4096,intended_case,strict_prefix0,mix_step,context_embedding,context_other,0.02508171940298507,52.90918161455185,9.0,0.22573547462686563,52.90918161455185,14.847356030104152,121.69111771346924,32.4143524536954,607.9064045189002,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.0003891225264496578,0.00047405230316559526
agg_aic_p0_dense_b36_isl1024_ctx4096,intended_case,strict_prefix0,mix_step,context_logits_gemm,context_other,0.6363647375022955,52.90918161455185,9.0,5.727282637520659,52.90918161455185,14.847356030104152,121.69111771346924,32.4143524536954,607.9064045189002,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.009872682586940027,0.012027491601330558
agg_aic_p0_dense_b36_isl1024_ctx4096,intended_case,strict_prefix0,mix_step,context_mla_block,context_mla_block,15.287847796663023,52.90918161455185,9.0,137.5906301699672,52.90918161455185,14.847356030104152,121.69111771346924,32.4143524536954,607.9064045189002,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.23717855474881658,0.28894508155571885
agg_aic_p0_dense_b36_isl1024_ctx4096,intended_case,strict_prefix0,mix_step,context_moe,context_moe,33.416504859924316,52.90918161455185,9.0,300.74854373931885,52.90918161455185,14.847356030104152,121.69111771346924,32.4143524536954,607.9064045189002,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.518429960374386,0.6315823424253009
agg_aic_p0_dense_b36_isl1024_ctx4096,intended_case,strict_prefix0,mix_step,context_moe_post_dispatch,context_other,0.0,52.90918161455185,9.0,0.0,52.90918161455185,14.847356030104152,121.69111771346924,32.4143524536954,607.9064045189002,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.0,0.0
agg_aic_p0_dense_b36_isl1024_ctx4096,intended_case,strict_prefix0,mix_step,context_moe_pre_dispatch,context_other,0.0,52.90918161455185,9.0,0.0,52.90918161455185,14.847356030104152,121.69111771346924,32.4143524536954,607.9064045189002,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.0,0.0
agg_aic_p0_dense_b36_isl1024_ctx4096,intended_case,strict_prefix0,mix_step,context_p2p,context_other,0.0,52.90918161455185,9.0,0.0,52.90918161455185,14.847356030104152,121.69111771346924,32.4143524536954,607.9064045189002,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.0,0.0
agg_aic_p0_dense_b36_isl1024_ctx4096,intended_case,strict_prefix0,mix_step,context_router_gemm,context_other,0.21767845956328646,52.90918161455185,9.0,1.959106136069578,52.90918161455185,14.847356030104152,121.69111771346924,32.4143524536954,607.9064045189002,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.0033771046864057813,0.004114190636118578
agg_aic_p0_dense_b36_isl1024_ctx4096,intended_case,strict_prefix0,mix_step,context_shared_act_gate,context_shared_ffn,0.13156312835820896,52.90918161455185,9.0,1.1840681552238808,52.90918161455185,14.847356030104152,121.69111771346924,32.4143524536954,607.9064045189002,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.0020410951925518344,0.002486584073756011
agg_aic_p0_dense_b36_isl1024_ctx4096,intended_case,strict_prefix0,mix_step,context_shared_ffn2_gemm,context_shared_ffn,0.665716313380821,52.90918161455185,9.0,5.99144682042739,52.90918161455185,14.847356030104152,121.69111771346924,32.4143524536954,607.9064045189002,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.010328048472253751,0.012582245520836522
agg_aic_p0_dense_b36_isl1024_ctx4096,intended_case,strict_prefix0,mix_step,context_shared_gate_up_gemm,context_shared_ffn,1.4325020684136285,52.90918161455185,9.0,12.892518615722656,52.90918161455185,14.847356030104152,121.69111771346924,32.4143524536954,607.9064045189002,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.02222410732890709,0.02707473494580837
