tag,mapping,alignment_class,step,op_category,latency_ms,step_latency_ms,step_count,weighted_latency_ms,aic_mix_step_latency_ms,aic_genonly_step_latency_ms,aic_ttft,aic_tpot,aic_request_latency,decode_batch_size,decode_prefix_len,prefill_batch_size,prefill_fresh_len,prefill_prefix_len,first_formal_prefill_req_count,first_formal_decode_req_count,first_formal_sum_prefill_fresh_tokens,first_formal_sum_decode_kv_tokens,aic_isl,aic_prefix,pct_of_step,pct_of_weighted_total
agg_aic_p0_small_b8_isl512_ctx2048,intended_case,strict_prefix0,mix_step,context_moe,27.28848916769028,36.52646770265534,2.0,54.57697833538056,36.52646770265535,7.55847510900146,71.22661202017792,9.489674615245052,213.5717312488537,4,512,4,512,0,3,1,1536,512,512,0,0.7470880948531059,0.3051182095026232
agg_aic_p0_small_b8_isl512_ctx2048,intended_case,strict_prefix0,mix_step,context_other,1.3429894665493844,36.52646770265534,2.0,2.685978933098769,36.52646770265535,7.55847510900146,71.22661202017792,9.489674615245052,213.5717312488537,4,512,4,512,0,3,1,1536,512,512,0,0.0367675702310452,0.015016241423127293
agg_aic_p0_small_b8_isl512_ctx2048,intended_case,strict_prefix0,mix_step,context_shared_ffn,1.194756934442106,36.52646770265534,2.0,2.389513868884212,36.52646770265535,7.55847510900146,71.22661202017792,9.489674615245052,213.5717312488537,4,512,4,512,0,3,1,1536,512,512,0,0.03270934775757831,0.013358822996307109
agg_aic_p0_small_b8_isl512_ctx2048,observed_first_batch,strict_prefix0,genonly_step,generation_mla_block,0.6563460537730991,4.960978442716675,14.0,9.188844752823387,33.00234534010324,4.960978442716675,64.35457341320132,6.830402902542446,166.81061695133803,4,512,4,512,0,3,1,1536,512,512,0,0.13230173469846368,0.06783518413970659
agg_aic_p0_small_b8_isl512_ctx2048,observed_first_batch,strict_prefix0,genonly_step,generation_moe,3.623041048447291,4.960978442716675,14.0,50.72257467826207,33.00234534010324,4.960978442716675,64.35457341320132,6.830402902542446,166.81061695133803,4,512,4,512,0,3,1,1536,512,512,0,0.730307758899126,0.3744513359291118
agg_aic_p0_small_b8_isl512_ctx2048,observed_first_batch,strict_prefix0,genonly_step,generation_other,0.6815913404962846,4.960978442716675,14.0,9.542278766947984,33.00234534010324,4.960978442716675,64.35457341320132,6.830402902542446,166.81061695133803,4,512,4,512,0,3,1,1536,512,512,0,0.13739050640241027,0.07044435450598262
agg_aic_p0_small_b8_isl512_ctx2048,observed_first_batch,strict_prefix0,mix_step,attention_scaled,0.0,33.00234534010323,2.0,0.0,33.00234534010324,4.960978442716675,64.35457341320132,6.830402902542446,166.81061695133803,4,512,4,512,0,3,1,1536,512,512,0,0.0,0.0
agg_aic_p0_small_b8_isl512_ctx2048,observed_first_batch,strict_prefix0,mix_step,context_mla_block,4.951944088662494,33.00234534010323,2.0,9.903888177324989,33.00234534010324,4.960978442716675,64.35457341320132,6.830402902542446,166.81061695133803,4,512,4,512,0,3,1,1536,512,512,0,0.15004824771180958,0.07311387843411708
agg_aic_p0_small_b8_isl512_ctx2048,observed_first_batch,strict_prefix0,mix_step,context_moe,25.947159293890003,33.00234534010323,2.0,51.894318587780006,33.00234534010324,4.960978442716675,64.35457341320132,6.830402902542446,166.81061695133803,4,512,4,512,0,3,1,1536,512,512,0,0.7862216768685216,0.383101548878058
agg_aic_p0_small_b8_isl512_ctx2048,observed_first_batch,strict_prefix0,mix_step,context_other,1.1894277539713003,33.00234534010323,2.0,2.3788555079426006,33.00234534010324,4.960978442716675,64.35457341320132,6.830402902542446,166.81061695133803,4,512,4,512,0,3,1,1536,512,512,0,0.03604070382615964,0.017561522233081432
