framework,version,device,op_name,kernel_source,allreduce_dtype,num_gpus,message_size,latency,backend
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,8,65536,0.00797439992427826,sglang_graph
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,8,65536,0.023285119533538817,sglang_eager
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,8,131072,0.014986239671707152,sglang_graph
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,8,131072,0.02489471912384033,sglang_eager
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,8,262144,0.01577407956123352,sglang_graph
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,8,262144,0.022593600749969484,sglang_eager
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,8,524288,0.017348159551620484,sglang_graph
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,8,524288,0.028302080631256103,sglang_eager
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,8,1048576,0.020899839401245117,sglang_graph
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,8,1048576,0.027936639785766604,sglang_eager
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,8,2097152,0.03430912017822266,sglang_graph
