framework,version,device,op_name,kernel_source,mla_dtype,kv_cache_dtype,num_heads,batch_size,isl,tp_size,step,latency
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_generation,flash_attention,bfloat16,fp8,1,1,1,64,1023,0.025044798851013184
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_generation,flash_attention,bfloat16,bfloat16,16,1,1,4,2047,0.018049600720405578
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_generation,flash_attention,bfloat16,bfloat16,4,1,1,16,2047,0.018408000469207764
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_generation,flash_attention,bfloat16,bfloat16,8,1,1,8,2047,0.018838399648666383
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_generation,flash_attention,bfloat16,bfloat16,1,1,1,64,2047,0.018681600689888
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_generation,flash_attention,bfloat16,bfloat16,64,1,1,1,1023,0.019067199528217317
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_generation,flash_attention,bfloat16,fp8,64,1,1,1,2047,0.028968000411987306
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_generation,flash_attention,bfloat16,fp8,32,1,1,2,2047,0.026899200677871705
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_generation,flash_attention,bfloat16,fp8,8,1,1,8,2047,0.026049599051475525
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_generation,flash_attention,bfloat16,fp8,16,1,1,4,2047,0.026678401231765746
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_generation,flash_attention,bfloat16,fp8,4,1,1,16,2047,0.02611039876937866
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_generation,flash_attention,bfloat16,fp8,1,1,1,64,2047,0.026553601026535034
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_generation,flash_attention,bfloat16,fp8,2,1,1,32,2047,0.027185600996017457
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_generation,flash_attention,bfloat16,bfloat16,64,1,1,1,4095,0.02194560021162033
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_generation,flash_attention,bfloat16,bfloat16,16,1,1,4,4095,0.01988479942083359
